year,month,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
2001,1,67.0,2123.0,6525.0,1934.0,0.0,163.0,3966.0,1191.0,1393.0,1.0,44.0,42.0,0.0,36.0,18.0,75.0,101.0,2095.0,4714.0,0.0,0.0,0.0,2.0,243.0,1.0,2800.0,563.0,0.0,161.0,2.0,1396.0,218.0,26.0,7866.0,337.0
2001,2,57.0,2029.0,6040.0,1666.0,0.0,135.0,3664.0,1063.0,1159.0,0.0,37.0,27.0,0.0,27.0,24.0,57.0,109.0,1785.0,4369.0,0.0,0.0,0.0,1.0,152.0,0.0,2487.0,426.0,1.0,173.0,0.0,1159.0,149.0,13.0,6669.0,301.0
2001,3,93.0,2824.0,7658.0,1832.0,0.0,153.0,4615.0,1141.0,1308.0,0.0,55.0,37.0,0.0,22.0,22.0,72.0,147.0,2151.0,4862.0,0.0,0.0,0.0,2.0,194.0,0.0,2836.0,550.0,0.0,267.0,2.0,1399.0,184.0,17.0,7765.0,344.0
2001,4,89.0,2746.0,8325.0,1931.0,0.0,133.0,4922.0,1133.0,1197.0,0.0,79.0,59.0,0.0,34.0,21.0,49.0,164.0,2119.0,4044.0,0.0,0.0,0.0,2.0,195.0,0.0,2483.0,564.0,1.0,229.0,1.0,1341.0,169.0,29.0,7702.0,321.0
2001,5,94.0,2903.0,8886.0,1997.0,0.0,156.0,4756.0,1067.0,1255.0,0.0,94.0,42.0,0.0,41.0,25.0,56.0,194.0,2197.0,4038.0,0.0,0.0,0.0,1.0,210.0,2.0,2529.0,503.0,1.0,239.0,1.0,1491.0,225.0,11.0,8417.0,390.0
2001,6,87.0,2767.0,8758.0,2087.0,0.0,168.0,4772.0,1087.0,1229.0,0.0,97.0,69.0,0.0,43.0,33.0,119.0,143.0,2278.0,4034.0,0.0,0.0,0.0,1.0,215.0,0.0,2437.0,443.0,1.0,228.0,0.0,1448.0,204.0,19.0,8609.0,349.0
2001,7,124.0,3019.0,9112.0,2499.0,0.0,187.0,5271.0,1046.0,1184.0,0.0,99.0,78.0,0.0,32.0,23.0,107.0,164.0,2569.0,3897.0,0.0,0.0,0.0,2.0,210.0,2.0,2622.0,533.0,0.0,213.0,0.0,1658.0,242.0,16.0,9448.0,336.0
2001,8,87.0,3021.0,8368.0,2451.0,0.0,167.0,5107.0,1122.0,1281.0,0.0,109.0,58.0,0.0,36.0,16.0,88.0,133.0,2341.0,4237.0,0.0,0.0,0.0,2.0,185.0,0.0,2612.0,507.0,2.0,215.0,1.0,1704.0,210.0,13.0,9608.0,351.0
2001,9,72.0,2859.0,8012.0,2393.0,0.0,141.0,4695.0,1176.0,1184.0,0.0,104.0,71.0,0.0,41.0,27.0,91.0,131.0,2514.0,3667.0,0.0,0.0,0.0,2.0,172.0,1.0,2291.0,423.0,1.0,374.0,0.0,1757.0,151.0,11.0,8773.0,370.0
2001,10,100.0,2621.0,8011.0,2664.0,0.0,148.0,5129.0,1142.0,1284.0,0.0,89.0,71.0,0.0,21.0,28.0,59.0,123.0,2899.0,4017.0,0.0,0.0,0.0,1.0,141.0,0.0,2221.0,473.0,1.0,313.0,0.0,1857.0,176.0,14.0,8998.0,427.0
